carroceria,color,combustible,fecha,marca,modelo,precio,odometro
Coupé,Amarillo,Gasolina,2015,Mercedes Benz,GTS AMG,1990000,25200
Camioneta SUV,Blanco,Gasolina,2017,GMC,Yukon Denali,450000,120000
Camioneta SUV,Blanco,Gasolina,2006,Ford,Escape Limited,105000,229540.1642
Hatchback (5 Puertas),Blanco,Gasolina,2015,Nissan,March,138500,95000
Camioneta SUV,Blanco,Gasolina,2020,Audi,Q3,629000,50000
Sedán,Blanco,Gasolina,2019,Chevrolet,Aveo LTZ,249900,52108
Hatchback (5 Puertas),Blanco,Gasolina,2018,Nissan,March,184900,50000
Convertible,Blanco,Gasolina,2022,Jaguar,F-TYPE,1599000,7200
Camioneta SUV,Gris,Gasolina,2015,Jeep,Grand Cherokee,349900,75000
Hatchback (5 Puertas),Blanco,Gasolina,2013,Mercedes Benz,B180,210000,84000
Sedán,Blanco,Gasolina,2009,Lincoln,MKZ,85000,207000
Camioneta SUV,Gris,Gasolina,2016,Jeep,Cherokee,579500,101613
Camioneta SUV,Blanco,Gasolina,2011,Ford,Expedition Limited,145000,190000
Hatchback (3 Puertas),Azul,Gasolina,2015,Mini,Cooper Chilli,279900,72000
Camioneta SUV,Rojo,Gasolina,2019,Honda,CR-V,420000,79328
Camioneta SUV,Blanco,Gasolina,2002,Toyota,Sequoia,129000,152887.3
Sedán,Blanco,Gasolina,2007,Nissan,Platina,79800,94300
Camioneta SUV,Negro,Gasolina,1998,Dodge,Durango,89000,262000
Sedán,Blanco,Gasolina,2023,Hyundai,Elantra GLS Premium,370000,40000
Camioneta SUV,Negro,Gasolina,2017,Ford,Edge,369000,82648
Camioneta SUV,Blanco,Gasolina,2014,Cadillac,SRX,275000,75000
Coupé,Blanco,Gasolina,2018,Maserati,GranTurismo,2800000,6000
Camioneta SUV,Negro,Gasolina,2024,MG,MG ZS,289900,28538
Sedán,Plata,Gasolina,2021,Volkswagen,Vento,239000,67453
Camioneta SUV,Blanco,Gasolina,2018,Hyundai,Tucson,299900,117000
Hatchback (5 Puertas),Blanco,Gasolina,2021,Seat,Ibiza,299000,34000
Camioneta SUV,Negro,Gasolina,2021,Honda,CR-V,468000,70638
Hatchback (5 Puertas),Blanco,Gasolina,2015,Honda,Fit,189000,75000
Hatchback (5 Puertas),Blanco,Gasolina,2018,Mercedes Benz,GLA 200,367000,49000
Camioneta SUV,Gris,Gasolina,2018,Kia,Sportage,334900,47551
